Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def _download_build_artifacts(self, build: Dict[str, Any]) -> None: arch = build[""arch_tag""] snap_build = self._lp_load_url(build[""self_link""]) urls = snap_build.getFileUrls() if not urls: logger.error(f""Snap file not available for arch {arch!r}."") return for url in urls: file_name = _get_url_basename(url) self._download_file(url=url, dst=file_name) if file_name.endswith("".snap""): logger.info(f""Snapped {file_name}"") else: logger.info(f""Fetched {file_name}"")",false,"if file_name . endswith ( "".snap"" ) :","if.snap""):self._download_file(url=url, dst=file_name)if..",81.82,19.59
"def _add_custom_statement(self, custom_statements): if custom_statements is None: return self.resource_policy[""Version""] = ""2012-10-17"" if self.resource_policy.get(""Statement"") is None: self.resource_policy[""Statement""] = custom_statements else: if not isinstance(custom_statements, list): custom_statements = [custom_statements] statement = self.resource_policy[""Statement""] if not isinstance(statement, list): statement = [statement] for s in custom_statements: if s not in statement: statement.append(s) self.resource_policy[""Statement""] = statement",false,if s not in statement :,"self.resource_policy[""Statement""] =self.resource_policy[""Statement""] =self.resource_policy[""Statement""] =",0.0,0.0
"def display_failures_for_single_test(result: TestResult) -> None: """"""Display a failure for a single method / endpoint."""""" display_subsection(result) checks = _get_unique_failures(result.checks) for idx, check in enumerate(checks, 1): message: Optional[str] if check.message: message = f""{idx}. {check.message}"" else: message = None example = cast(Case, check.example) # filtered in `_get_unique_failures` display_example(example, check.name, message, result.seed) # Display every time except the last check if idx != len(checks): click.echo(""\n"")",false,if check . message :,# filtered in `_get_unique_failures`# filtered in `_get_unique_failures`# filtered in `_,0.0,0.0
"def build(opt): dpath = os.path.join(opt[""datapath""], ""qangaroo"") version = ""v1.1"" if not build_data.built(dpath, version_string=version): print(""[building data: "" + dpath + ""]"") if build_data.built(dpath): # An older version exists, so remove these outdated files. build_data.remove_dir(dpath) build_data.make_dir(dpath) # Download the data. for downloadable_file in RESOURCES: downloadable_file.download_file(dpath) # Mark the data as built. build_data.mark_done(dpath, version_string=version)",false,if build_data . built ( dpath ) :,downloadable_file.download() #thethethethethethethethethethe data,37.5,6.27
"def call(self, step_input, states): new_states = [] for i in range(self.num_layers): out, new_state = self.lstm_cells[i](step_input, states[i]) step_input = ( layers.dropout( out, self.dropout_prob, dropout_implementation=""upscale_in_train"" ) if self.dropout_prob > 0.0 else out ) new_states.append(new_state) return step_input, new_states",false,if self . dropout_prob > 0.0,=====,0.0,0.0
"def jupyter_progress_bar(min=0, max=1.0): """"""Returns an ipywidget progress bar or None if we can't import it"""""" widgets = wandb.util.get_module(""ipywidgets"") try: if widgets is None: # TODO: this currently works in iPython but it's deprecated since 4.0 from IPython.html import widgets # type: ignore assert hasattr(widgets, ""VBox"") assert hasattr(widgets, ""Label"") assert hasattr(widgets, ""FloatProgress"") return ProgressWidget(widgets, min=min, max=max) except (ImportError, AssertionError): return None",false,if widgets is None :,importimport#############,0.0,0.0
"def _record_event(self, path, fsevent_handle, filename, events, error): with self.lock: self.events[path].append(events) if events | pyuv.fs.UV_RENAME: if not os.path.exists(path): self.watches.pop(path).close()",false,if events | pyuv . fs . UV_RENAME :,path:,11.11,0.0
"def _get_v1_id_from_tags(self, tags_obj, tag): """"""Get image id from array of tags"""""" if isinstance(tags_obj, dict): try: return tags_obj[tag] except KeyError: pass elif isinstance(tags_obj, []): try: for tag_dict in tags_obj: if tag_dict[""name""] == tag: return tag_dict[""layer""] except KeyError: pass return """"",false,"if tag_dict [ ""name"" ] == tag :",tag:,18.18,0.0
"def query_lister(domain, query="""", max_items=None, attr_names=None): more_results = True num_results = 0 next_token = None while more_results: rs = domain.connection.query_with_attributes( domain, query, attr_names, next_token=next_token ) for item in rs: if max_items: if num_results == max_items: raise StopIteration yield item num_results += 1 next_token = rs.next_token more_results = next_token != None",false,if max_items :,next_token =next_tokennext_tokennext_tokennext_token = next_tokennext_token =,0.0,1.91
"def filter(this, args): array = to_object(this, args.space) callbackfn = get_arg(args, 0) arr_len = js_arr_length(array) if not is_callable(callbackfn): raise MakeError(""TypeError"", ""callbackfn must be a function"") _this = get_arg(args, 1) k = 0 res = [] while k < arr_len: if array.has_property(unicode(k)): kValue = array.get(unicode(k)) if to_boolean(callbackfn.call(_this, (kValue, float(k), array))): res.append(kValue) k += 1 return args.space.ConstructArray(res)",false,if array . has_property ( unicode ( k ) ) :,===============,0.0,0.0
"def every_one_is(self, dst): msg = ""all members of %r should be %r, but the %dth is %r"" for index, item in enumerate(self._src): if self._range: if index < self._range[0] or index > self._range[1]: continue error = msg % (self._src, dst, index, item) if item != dst: raise AssertionError(error) return True",false,if item != dst :,self._range[0]self._range[1]self._range[1]self._range[0]self,0.0,0.0
"def schedule_logger(job_id=None, delete=False): if not job_id: return getLogger(""fate_flow_schedule"") else: if delete: with LoggerFactory.lock: try: for key in LoggerFactory.schedule_logger_dict.keys(): if job_id in key: del LoggerFactory.schedule_logger_dict[key] except: pass return True key = job_id + ""schedule"" if key in LoggerFactory.schedule_logger_dict: return LoggerFactory.schedule_logger_dict[key] return LoggerFactory.get_schedule_logger(job_id)",false,if job_id in key :,return),0.0,0.0
"def Tokenize(s): # type: (str) -> Iterator[Token] for item in TOKEN_RE.findall(s): # The type checker can't know the true type of item! item = cast(TupleStr4, item) if item[0]: typ = ""number"" val = item[0] elif item[1]: typ = ""name"" val = item[1] elif item[2]: typ = item[2] val = item[2] elif item[3]: typ = item[3] val = item[3] yield Token(typ, val)",false,elif item [ 2 ] :,:typ =============,16.67,2.63
"def _read_data_from_all_categories(self, directory, config, categories): lines = [] for category in categories: data_file = os.path.join(directory, _DATASET_VERSION, category, config) if os.path.exists(data_file): with open(data_file) as f: ls = f.read().split(""\n"") for l in ls[::-1]: if not l: ls.remove(l) lines.extend(ls) return lines",false,if os . path . exists ( data_file ) :,lines,0.0,0.0
"def find_handlers(self, forms): handlers = {} for form in forms.itervalues(): for action_name, _action_label in form.actions: if action_name not in handlers: handlers[action_name] = form else: raise HandlerError( ""More than one form defines the handler %s"" % action_name ) return handlers",false,if action_name not in handlers :,handlers,16.67,0.0
"def get_story_task_completed_body(payload: Dict[str, Any]) -> Optional[str]: action = get_action_with_primary_id(payload) kwargs = { ""task_description"": action[""description""], } story_id = action[""story_id""] for ref in payload[""references""]: if ref[""id""] == story_id: kwargs[""name_template""] = STORY_NAME_TEMPLATE.format( name=ref[""name""], app_url=ref[""app_url""], ) if action[""changes""][""complete""][""new""]: return STORY_TASK_COMPLETED_TEMPLATE.format(**kwargs) else: return None",false,"if ref [ ""id"" ] == story_id :","[ ""name_template""] =""name_template""], app_url=ref[""app_url""],""changes""",63.64,8.07
"def _create_valid_graph(graph): nodes = graph.nodes() for i in range(len(nodes)): for j in range(len(nodes)): if i == j: continue edge = (nodes[i], nodes[j]) if graph.has_edge(edge): graph.del_edge(edge) graph.add_edge(edge, 1)",false,if i == j :,=graph.add_edge(edge),16.67,4.77
"def _post_order(op): if isinstance(op, tvm.tir.Allocate): lift_stmt[-1].append(op) return op.body if isinstance(op, tvm.tir.AttrStmt): if op.attr_key == ""storage_scope"": lift_stmt[-1].append(op) return op.body if op.attr_key == ""virtual_thread"": return _merge_block(lift_stmt.pop() + [op], op.body) return op if isinstance(op, tvm.tir.For): return _merge_block(lift_stmt.pop() + [op], op.body) raise RuntimeError(""not reached"")",false,"if op . attr_key == ""storage_scope"" :",lift_stmt[1].push(op) returnop.bodylift_stmt[1].pop()op.,20.0,3.58
"def format_lazy_import(names): """"""Formats lazy import lines"""""" lines = """" for _, name, asname in names: pkg, _, _ = name.partition(""."") if asname is None: line = ""{pkg} = _LazyModule.load({pkg!r}, {mod!r})\n"" else: line = ""{asname} = _LazyModule.load({pkg!r}, {mod!r}, {asname!r})\n"" lines += line.format(pkg=pkg, mod=name, asname=asname) return lines",false,if asname is None :,lines,0.0,0.0
"def evaluateWord(self, argument): wildcard_count = argument[0].count(""*"") if wildcard_count > 0: if wildcard_count == 1 and argument[0].startswith(""*""): return self.GetWordWildcard(argument[0][1:], method=""endswith"") if wildcard_count == 1 and argument[0].endswith(""*""): return self.GetWordWildcard(argument[0][:-1], method=""startswith"") else: _regex = argument[0].replace(""*"", "".+"") matched = False for w in self.words: matched = bool(re.search(_regex, w)) if matched: break return matched return self.GetWord(argument[0])",false,if matched :,"w.match(""*"", "".+"") matched =matched =w.match(""*"", "".+"") matched =matched =",33.33,1.09
"def setup(self, ir: ""IR"", aconf: Config) -> bool: if self.kind == ""ConsulResolver"": self.resolve_with = ""consul"" if not self.get(""datacenter""): self.post_error(""ConsulResolver is required to have a datacenter"") return False elif self.kind == ""KubernetesServiceResolver"": self.resolve_with = ""k8s"" elif self.kind == ""KubernetesEndpointResolver"": self.resolve_with = ""k8s"" else: self.post_error(f""Resolver kind {self.kind} unknown"") return False return True",false,"if not self . get ( ""datacenter"" ) :","{self.kind}{self.get(""datacenter""))self.get(""datacenter""): self.post_error(f",81.82,25.16
"def get_success_url(self): """"""Continue to the flow index or redirect according `?back` parameter."""""" if ""back"" in self.request.GET: back_url = self.request.GET[""back""] if not is_safe_url(url=back_url, allowed_hosts={self.request.get_host()}): back_url = ""/"" return back_url return reverse(self.success_url)",false,"if not is_safe_url ( url = back_url , allowed_hosts = { self . request . get_host ( ) } ) :",back_url,4.76,0.0
"def download_main( download, download_playlist, urls, playlist, output_dir, merge, info_only ): for url in urls: if url.startswith(""https://""): url = url[8:] if not url.startswith(""http://""): url = ""http://"" + url if playlist: download_playlist( url, output_dir=output_dir, merge=merge, info_only=info_only ) else: download(url, output_dir=output_dir, merge=merge, info_only=info_only)",false,"if not url . startswith ( ""http://"" ) :","url,url,merge=merge, info_only=info_only)url,url,url,url",14.29,1.96
"def __str__(self): buf = [""""] if self.fileName: buf.append(self.fileName + "":"") if self.line != -1: if not self.fileName: buf.append(""line "") buf.append(str(self.line)) if self.column != -1: buf.append("":"" + str(self.column)) buf.append("":"") buf.append("" "") return str("""").join(buf)",false,if not self . fileName :,"buf.append("""")",16.67,6.57
"def parse_bash_set_output(output): """"""Parse Bash-like 'set' output"""""" if not sys.platform.startswith(""win""): # Replace ""\""-continued lines in *Linux* environment dumps. # Cannot do this on Windows because a ""\"" at the end of the # line does not imply a continuation. output = output.replace(""\\\n"", """") environ = {} for line in output.splitlines(0): line = line.rstrip() if not line: continue # skip black lines item = _ParseBashEnvStr(line) if item: environ[item[0]] = item[1] return environ",false,if item :,=== _ParseBashEnvStr(item) if= _ParseBashEnvStr(item) if=,66.67,2.72
"def remove_selected(self): """"""Removes selected items from list."""""" to_delete = [] for i in range(len(self)): if self[i].selected: to_delete.append(i) to_delete.reverse() for i in to_delete: self.pop(i) if len(to_delete) > 0: first_to_delete = to_delete[-1] if first_to_delete == 0 and len(self) > 0: self[0].selected = True elif first_to_delete > 0: self[first_to_delete - 1].selected = True",false,if first_to_delete == 0 and len ( self ) > 0 :,=first_to_delete========== 0,30.77,39.17
"def update(self, update_tracks=True): self.enable_update_metadata_images(False) old_album_title = self.metadata[""album""] self.metadata[""album""] = config.setting[""nat_name""] for track in self.tracks: if old_album_title == track.metadata[""album""]: track.metadata[""album""] = self.metadata[""album""] for file in track.linked_files: track.update_file_metadata(file) self.enable_update_metadata_images(True) super().update(update_tracks)",false,"if old_album_title == track . metadata [ ""album"" ] :",update_tracks),0.0,0.62
"def on_input(self, target, message): if message.strip() == """": self.panel(""No commit message provided"") return if target: command = [""git"", ""add""] if target == ""*"": command.append(""--all"") else: command.extend((""--"", target)) self.run_command(command, functools.partial(self.add_done, message)) else: self.add_done(message, """")",false,"if target == ""*"" :","self.panel(""Added"")",25.0,6.57
"def go_to_last_edit_location(self): if self.last_edit_cursor_pos is not None: filename, position = self.last_edit_cursor_pos if not osp.isfile(filename): self.last_edit_cursor_pos = None return else: self.load(filename) editor = self.get_current_editor() if position < editor.document().characterCount(): editor.set_cursor_position(position)",false,if not osp . isfile ( filename ) :,=,0.0,0.0
"def returnByType(self, results): new_results = {} for r in results: type_name = r.get(""type"", ""movie"") + ""s"" if type_name not in new_results: new_results[type_name] = [] new_results[type_name].append(r) # Combine movies, needs a cleaner way.. if ""movies"" in new_results: new_results[""movies""] = self.combineOnIMDB(new_results[""movies""]) return new_results",false,if type_name not in new_results :,"self.combineOnIMDB(new_results[""movies""]):",33.33,11.36
"def cache_sns_topics_across_accounts() -> bool: function: str = f""{__name__}.{sys._getframe().f_code.co_name}"" # First, get list of accounts accounts_d: list = async_to_sync(get_account_id_to_name_mapping)() for account_id in accounts_d.keys(): if config.get(""environment"") == ""prod"": cache_sns_topics_for_account.delay(account_id) else: if account_id in config.get(""celery.test_account_ids"", []): cache_sns_topics_for_account.delay(account_id) stats.count(f""{function}.success"") return True",false,"if account_id in config . get ( ""celery.test_account_ids"" , [ ] ) :",() :( account_id )) : return( account_id )) : return True( ) ),23.53,9.31
"def get(self, subject, topic): """"""Handles GET requests."""""" if subject in feconf.AVAILABLE_LANDING_PAGES: if topic in feconf.AVAILABLE_LANDING_PAGES[subject]: self.render_template(""topic-landing-page.mainpage.html"") else: raise self.PageNotFoundException else: raise self.PageNotFoundException",false,if topic in feconf . AVAILABLE_LANDING_PAGES [ subject ] :,"self.render_template(""topic-landing-page.mainpage.html"")",20.0,3.38
"def callback(compiled): if destpath is None: logger.show_tabulated( ""Compiled"", showpath(codepath), ""without writing to file."" ) else: with univ_open(destpath, ""w"") as opened: writefile(opened, compiled) logger.show_tabulated(""Compiled to"", showpath(destpath), ""."") if self.show: print(compiled) if run: if destpath is None: self.execute(compiled, path=codepath, allow_show=False) else: self.execute_file(destpath)",false,if destpath is None :,"ifself.show_tabulated(self.show_tabulated( ""Compiled"",self.show_tabulated( """,0.0,0.0
"def _find_start_index(self, string, start, end): while True: index = string.find(""{"", start, end) - 1 if index < 0: return -1 if self._start_index_is_ok(string, index): return index start = index + 2",false,"if self . _start_index_is_ok ( string , index ) :",string,10.0,0.0
"def _get_nlu_target_format(export_path: Text) -> Text: guessed_format = loading.guess_format(export_path) if guessed_format not in {MARKDOWN, RASA, RASA_YAML}: if rasa.shared.data.is_likely_json_file(export_path): guessed_format = RASA elif rasa.shared.data.is_likely_markdown_file(export_path): guessed_format = MARKDOWN elif rasa.shared.data.is_likely_yaml_file(export_path): guessed_format = RASA_YAML return guessed_format",false,elif rasa . shared . data . is_likely_yaml_file ( export_path ) :,guessed_format = RASA_YAML elifguessed_format = RASA_YAML elifguessed,0.0,2.66
"def moveToThreadNext(self): """"""Move a position to threadNext position."""""" p = self if p.v: if p.v.children: p.moveToFirstChild() elif p.hasNext(): p.moveToNext() else: p.moveToParent() while p: if p.hasNext(): p.moveToNext() break # found p.moveToParent() # not found. return p",false,if p . hasNext ( ) :,p.v:,42.86,16.7
"def copy_attributes(info_add, obj, name_fmt, attributes, formatter=None): for attr in attributes: value = getattr(obj, attr, None) if value is None: continue name = name_fmt % attr if formatter is not None: value = formatter(attr, value) info_add(name, value)",false,if value is None :,=name_fmt,0.0,0.0
"def getElement(self, aboutUri, namespace, name): for desc in self.rdfRoot.getElementsByTagNameNS(RDF_NAMESPACE, ""Description""): if desc.getAttributeNS(RDF_NAMESPACE, ""about"") == aboutUri: attr = desc.getAttributeNodeNS(namespace, name) if attr != None: yield attr for element in desc.getElementsByTagNameNS(namespace, name): yield element",false,"if desc . getAttributeNS ( RDF_NAMESPACE , ""about"" ) == aboutUri :",:,6.67,0.0
def run(self): while not self.completed: if self.block: time.sleep(self.period) else: self._completed.wait(self.period) self.counter += 1 try: self.callback(self.counter) except Exception: self.stop() if self.timeout is not None: dt = time.time() - self._start_time if dt > self.timeout: self.stop() if self.counter == self.count: self.stop(),false,if self . timeout is not None :,self.callback(self.counter)self.callback(self.counter),25.0,4.89
"def _parse_fixits(message, titer, line): """"""Parses fixit messages."""""" while ( OutputParser.message_line_re.match(line) is None and OutputParser.note_line_re.match(line) is None ): message_text = line.strip() if message_text != """": message.fixits.append( Note( message.path, message.line, line.find(message_text) + 1, message_text, ) ) line = next(titer) return line",false,"if message_text != """" :",line:line:,14.29,4.58
"def _connect_db(self, force_reconnect=False): thread_id = thread.get_ident() if force_reconnect and thread_id in ENGINES: del ENGINES[thread_id] conn = None try: engine = ENGINES[thread_id] conn = engine.connect() _test = conn.execute(""SELECT 1"") _test.fetchall() except (KeyError, MySQLdb.OperationalError): if conn: conn.close() engine = sqla.create_engine(self.db_url, pool_recycle=3600) ENGINES[thread_id] = engine conn = engine.connect() return conn",false,if conn :,===============,0.0,0.0
"def read(self, n): if self.current_frame: data = self.current_frame.read(n) if not data and n != 0: self.current_frame = None return self.file_read(n) if len(data) < n: raise UnpicklingError(""pickle exhausted before end of frame"") return data else: return self.file_read(n)",false,if not data and n != 0 :,data,11.11,0.0
"def __setLoadCmd(self): base = self.__rawLoadCmd for _ in range(self.__machHeader.ncmds): command = LOAD_COMMAND.from_buffer_copy(base) if command.cmd == MACHOFlags.LC_SEGMENT: segment = SEGMENT_COMMAND.from_buffer_copy(base) self.__setSections(segment, base[56:], 32) elif command.cmd == MACHOFlags.LC_SEGMENT_64: segment = SEGMENT_COMMAND64.from_buffer_copy(base) self.__setSections(segment, base[72:], 64) base = base[command.cmdsize :]",false,if command . cmd == MACHOFlags . LC_SEGMENT :,"base[56:], 32) elif command.cmd== MACHOFlags.LC_SEGMENT_32:= SEGMENT_",80.0,36.76
"def emit_post_sync_signal(created_models, verbosity, interactive, db): # Emit the post_sync signal for every application. for app in models.get_apps(): app_name = app.__name__.split(""."")[-2] if verbosity >= 2: print(""Running post-sync handlers for application %s"" % app_name) models.signals.post_syncdb.send( sender=app, app=app, created_models=created_models, verbosity=verbosity, interactive=interactive, db=db, )",false,if verbosity >= 2 :,app_name:,16.67,9.69
"def git_pull(args): if len(args) <= 1: repo = _get_repo() _confirm_dangerous() url = args[0] if len(args) == 1 else repo.remotes.get(""origin"", """") if url in repo.remotes: origin = url url = repo.remotes.get(origin) if url: repo.pull(origin_uri=url) else: print(""No pull URL."") else: print(command_help[""git pull""])",false,if url :,"=repo.remotes.get(""origin_uri"")========",0.0,0.0
"def version(self): try: return self._version except AttributeError: for line in self._get_metadata(self.PKG_INFO): if line.lower().startswith(""version:""): self._version = safe_version(line.split("":"", 1)[1].strip()) return self._version else: tmpl = ""Missing 'Version:' header and/or %s file"" raise ValueError(tmpl % self.PKG_INFO, self)",false,"if line . lower ( ) . startswith ( ""version:"" ) :",line,6.67,0.0
"def increment(self, metric, labels, delta): """"""Increment a value by |delta|."""""" with self._lock: key = self._get_key(metric.name, labels) if key in self._store: start_time = self._store[key].start_time value = self._store[key].value + delta else: start_time = time.time() value = metric.default_value + delta self._store[key] = _StoreValue(metric, labels, start_time, value)",false,if key in self . _store :,=self._store[key],57.14,36.56
"def get_current_connections(session): """"""Retrieves open connections using the the given session"""""" # Use Show process list to count the open sesions. res = session.sql(""SHOW PROCESSLIST"").execute() rows = res.fetch_all() connections = {} for row in rows: if row.get_string(""User"") not in connections: connections[row.get_string(""User"")] = [row.get_string(""Host"")] else: connections[row.get_string(""User"")].append(row.get_string(""Host"")) return connections",false,"if row . get_string ( ""User"" ) not in connections :","session.sql(""SHOWSELECT""User""))",46.15,19.4
"def asset(*paths): for path in paths: fspath = www_root + ""/assets/"" + path etag = """" try: if env.cache_static: etag = asset_etag(fspath) else: os.stat(fspath) except FileNotFoundError as e: if path == paths[-1]: if not os.path.exists(fspath + "".spt""): tell_sentry(e, {}) else: continue except Exception as e: tell_sentry(e, {}) return asset_url + path + (etag and ""?etag="" + etag)",false,if env . cache_static :,=path=============,0.0,0.0
def thread_loop(self) -> None: while not self.stop_event.is_set(): time.sleep(1) new_trials = self.study.trials with self.lock: need_to_add_callback = self.new_trials is None self.new_trials = new_trials if need_to_add_callback: self.doc.add_next_tick_callback(self.update_callback),false,if need_to_add_callback :,self.doc.add_next_tick_callback(self.update_callback),0.0,6.42
"def _cache_db_tables_iterator(tables, cache_alias, db_alias): no_tables = not tables cache_aliases = settings.CACHES if cache_alias is None else (cache_alias,) db_aliases = settings.DATABASES if db_alias is None else (db_alias,) for db_alias in db_aliases: if no_tables: tables = connections[db_alias].introspection.table_names() if tables: for cache_alias in cache_aliases: yield cache_alias, db_alias, tables",false,if tables :,"cache_alias, db_alias, tables)cache_alias, db_alias, tables)cache_alias, db_alias",33.33,1.39
"def remove_subscriber(self, topic, subscriber): if subscriber in self.subscribers[topic]: if hasattr(subscriber, ""_pyroRelease""): subscriber._pyroRelease() if hasattr(subscriber, ""_pyroUri""): try: proxy = self.proxy_cache[subscriber._pyroUri] proxy._pyroRelease() del self.proxy_cache[subscriber._pyroUri] except KeyError: pass self.subscribers[topic].discard(subscriber)",false,"if hasattr ( subscriber , ""_pyroUri"" ) :",subscriber,10.0,0.0
"def test_constructor(job_id): with patch(""apscheduler.job.Job._modify"") as _modify: scheduler_mock = MagicMock(BaseScheduler) job = Job(scheduler_mock, id=job_id) assert job._scheduler is scheduler_mock assert job._jobstore_alias is None modify_kwargs = _modify.call_args[1] if job_id is None: assert len(modify_kwargs[""id""]) == 32 else: assert modify_kwargs[""id""] == job_id",false,if job_id is None :,job_id==job_id=========,20.0,8.51
"def get_connection(self): if self.config.proxy_host != """": return httplib.HTTPConnection(self.config.proxy_host, self.config.proxy_port) else: if self.config.use_https: return httplib.HTTPSConnection(self.config.simpledb_host) else: return httplib.HTTPConnection(self.config.simpledb_host)",false,if self . config . use_https :,self.config.simpledb_port,57.14,32.67
"def notify_login(self, ipaddress=""""): if app.NOTIFY_ON_LOGIN: update_text = common.notifyStrings[common.NOTIFY_LOGIN_TEXT] title = common.notifyStrings[common.NOTIFY_LOGIN] if update_text and title and ipaddress: self._notify_pht(title, update_text.format(ipaddress))",false,if update_text and title and ipaddress :,self._notify_pht(title),14.29,5.67
"def _getItemHeight(self, item, ctrl=None): """"""Returns the full height of the item to be inserted in the form"""""" if type(ctrl) == psychopy.visual.TextBox2: return ctrl.size[1] if type(ctrl) == psychopy.visual.Slider: # Set radio button layout if item[""layout""] == ""horiz"": return 0.03 + ctrl.labelHeight * 3 elif item[""layout""] == ""vert"": # for vertical take into account the nOptions return ctrl.labelHeight * len(item[""options""])",false,"elif item [ ""layout"" ] == ""vert"" :","item[""options""]=item[""options""]=item[""options""]=item[""options""]=item",69.23,8.91
"def _get_errors_lines(self): """"""Return the number of lines that contains errors to highlight."""""" errors_lines = [] block = self.document().begin() while block.isValid(): user_data = get_user_data(block) if user_data.error: errors_lines.append(block.blockNumber()) block = block.next() return errors_lines",false,if user_data . error :,self.document().end(),20.0,4.77
"def set_pbar_fraction(self, frac, progress, stage=None): gtk.gdk.threads_enter() try: self.is_pulsing = False self.set_stage_text(stage or _(""Processing..."")) self.pbar.set_text(progress) if frac > 1: frac = 1.0 if frac < 0: frac = 0 self.pbar.set_fraction(frac) finally: gtk.gdk.threads_leave()",false,if frac < 0 :,=self.pbar.set_fraction(frac),20.0,3.75
